Name: ,Specialization,Highest degree: ,Experience,Fee,Degrees:,Wait_time,Number of Patients:,Rating,Location
Dr. Salman Ahmed,Pediatrician,MBBS,"100%
                                                                                    (2)",Not Available,"DCH,  RPM",not available,not available,,Islamabad
Dr. Naveed Haider,Pediatrician,M.B.B.S,"100%
                                                                                    (2)",Not Available,FCPS (Pediatrics),8 Years,not available,,Islamabad
Dr. Farah Naz,Pediatrician,MBBS,"100%
                                                                                    (2)",Not Available,FCPS (Peadiatrics),not available,not available,,Islamabad
Dr. Tanzeen Fatima,Pediatrician,MBBS,"100%
                                                                                    (2)",Not Available,DCH,not available,not available,,Islamabad
Dr. Sidra Gul,Pediatrician,MBBS,"100%
                                                                                    (2)",Not Available,FCPS,not available,not available,,Islamabad
Dr. Abdul Rasheed,Pediatrician,MBBS,"100%
                                                                                    (2)",Not Available,DCH,12 Years,not available,,Islamabad
Dr. Hashim Raza,Pediatrician,MBBS,"100%
                                                                                    (2)",Not Available,MRCP (UK),not available,not available,,Islamabad
Dr. Iqbal Mahmood,Pediatrician,MBBS,"100%
                                                                                    (2)",Not Available,"MCPS,  FCPS",not available,not available,,Islamabad
Dr. Mumtaz Hassan,Pediatrician,MBBS,"100%
                                                                                    (2)",Not Available,FRCS,not available,not available,,Islamabad
Dr. Munir Iqbal Malik,Pediatrician,MD,"100%
                                                                                    (2)",Not Available,DABP,not available,not available,,Islamabad
Dr. Rasheed Anwar,Pediatrician,MBBS(Pb). MRCP DCH,"100%
                                                                                    (2)",Not Available,,not available,not available,,Islamabad
Dr. Shahzad Munir,Pediatrician,MBBS,"100%
                                                                                    (2)",Not Available,"MCPS,  FCPS",not available,not available,,Islamabad
Dr. Tabish Hazer,Pediatrician,MBBS,"100%
                                                                                    (2)",Not Available,"FCPS,  MCPS",24 Years,not available,,Islamabad
Dr. Zareefuddin Khan,Pediatrician,MBBS,"100%
                                                                                    (2)",Not Available,DCH,not available,not available,,Islamabad
Dr. Vaqas Anwar,Pediatrician,MBBS,"100%
                                                                                    (2)",Not Available,"DCH, MRCPCH",not available,not available,,Islamabad
Dr. Ejaz Ahmed Khan,Pediatrician,MBBS,"100%
                                                                                    (2)",Not Available,,not available,not available,,Islamabad
Dr. Iffat F. Zaman,Pediatrician,MBBS,"100%
                                                                                    (2)",Not Available,,not available,not available,,Islamabad
Dr. Mazhar Hussain Raja,Pediatrician,MBBS,"100%
                                                                                    (2)",Not Available,"DCH, FRCPCH",not available,not available,,Islamabad
Dr. Mussarat Hussain,Pediatrician,MBBS,"100%
                                                                                    (2)",Not Available,,not available,not available,,Islamabad
Dr. Rehana Sayeed,Pediatrician,MBBS,"100%
                                                                                    (2)",Not Available,,not available,not available,,Islamabad
Dr. Shehla Chaudhry,Pediatrician,MBBS,"100%
                                                                                    (2)",Not Available,"FCPS(PEDIATRICS MEDICINE),  FPMCPS",not available,not available,,Islamabad
Dr. Yasir Iqbal,Pediatrician,MBBS,"100%
                                                                                    (2)",Not Available,,not available,not available,,Islamabad
Dr. Yawar Najam,Pediatrician,MBBS,"100%
                                                                                    (2)",Not Available,"DCH,  MRCP,  DIP,  MGT",not available,not available,,Islamabad
Dr. Lachman Das,Pediatrician,MBBS,"100%
                                                                                    (2)","Rs. 2,000",Diploma in Child Health,30 Years,not available,,Karachi
Dr. Ibrahim Yusuf,"Pediatrician, Pediatric Nutritionist, Pediatric Neurologist, Neonatologist",M.B.B.S,20 Years,"Rs. 2,300","DCH,  M.D.,  MRSH (London),  PGPN (Boston USA),  SICK-KIDS (Canada),  IPPN (Australia),  American Academy OF Peadiatric Neurology",15 - 30 Min,8947,98%,Karachi
Dr. Raj Kumar,"Pediatrician, Neonatologist",MBBS,15 Years,"Rs. 1,500","Diploma in Pediatric Medicine,  MCPS (Family Medicine)",15 - 30 Min,16,100%,Karachi
Dr. Rafat Nasir,"Pediatrician, Family Physician, General Physician",MBBS,36 Years,"Rs. 1,750",RMP,Under 15 Min,324,99%,Karachi
Dr. Hafsa Yousuf,"Pediatrician, Neonatologist",M.B.B.S,36 Years,Rs. 500,M.C.P.S (Pediatrics),12 Years,not available,99%,Karachi
Dr. Ghulam Murtaza,Pediatrician,MBBS,26 Years,"Rs. 1,500","Diploma in Child Health,  MCPS,  FCPS",15 - 30 Min,16,100%,Karachi
Dr. Iqbal Gatta,"Pediatrician, Neonatologist",M.B.B.S,38 Years,Rs. 500,M.C.P.S (Pediatrics),Under 15 Min,2,100%,Karachi
Dr. Lubna Aman,"Pediatrician, Child-Kidney Specialist",M.B.B.S.,"100%
                                                                                    (7)",Not Available,"F.C.P.S. (Pediatrics),  F.C.P.S (Pediatrics Nephrology)",Under 15 Min,7,,Karachi
Dr. Talaiha Chughtai,"Pediatrician, Pediatric Nutritionist",MBBS,4 Years,"Rs. 1,750","DCH,  Dip in Pediatric Nutrition",Under 15 Min,36,95%,Karachi
Dr. Seema Asif,Pediatrician,M.B.B.S,13 Years,"Rs. 1,300",F.C.P.S. (Pediatrics),Under 15 Min,235,99%,Karachi
Dr. Mubina Agboatwalla,Pediatrician,MBBS,35 Years,"Rs. 1,500","Diploma in Chlid Health,  MCPS (Pediatrics)",15 - 30 Min,16,89%,Karachi
Dr. Haresh Kumar,Pediatrician,M.B.B.S,17 Years,Rs. 700,Diploma in Pediatric Medicine,15 - 30 Min,35,100%,Karachi
Dr. Rafia Jabbar,Pediatrician,MBBS,6 Years,"Rs. 1,200",FCPS (Pediatrics),15 - 30 Min,29,100%,Karachi
Dr. Bushra Memon,Pediatrician,MBBS,"100%
                                                                                    (1)",Not Available,FCPS (Pediatrics),4 Years,1,,Karachi
Dr. Qamar Saeed,"Pediatrician, Neonatologist",MBBS,36 Years,"Rs. 2,000","MCPS (Pediatric),  MPH,  PhD Scholar (DUHS)",Under 15 Min,101,99%,Karachi
Dr. Summera Mehdi,Pediatrician,M.B.B.S,11 Years,"Rs. 1,400",D.C.H,Under 15 Min,54,100%,Karachi
Dr. Muhammad Omair,Pediatrician,M.B.B.S,6 Years,"Rs. 1,500",M.C.P.S ( Pediatrics),Under 15 Min,60,100%,Karachi
Dr. Raheela Nageen,Pediatrician,MBBS,29 Years,"Rs. 1,000",Saudi Board Pediatrics,Under 15 Min,71,95%,Karachi
Dr. Sadaf Islam,Pediatrician,M.B.B.S.,10 Years,"Rs. 1,500",M.C.P.S,15 - 30 Min,31,97%,Karachi
Dr. Ambreen Raza,Pediatrician,M.B.B.S,7 Years,"Rs. 1,500",F.C.P.S (Pediatrics),15 - 30 Min,23,100%,Karachi
Dr. Adeel Khalid,"Pediatrician, Pediatric Cardiologist",MBBS,8 Years,"Rs. 1,000","FCPS (Peadiatrics),  FCPS (Peadiatric Cardiology)",Under 15 Min,7,100%,Karachi
Dr. Afreena Qureshi,"Pediatrician, Neonatologist",M.B.B.S.,8 Years,Rs. 600,F.C.P.S. (Pediatrics),Under 15 Min,753,99%,Karachi
Dr. Sameera Saleem,Pediatrician,MBBS,5 Years,"Rs. 1,500",FCPS (Pediatrics),Under 15 Min,10,100%,Karachi
Dr. Syed Uzair Maqsood,Pediatrician,MBBS,12 Years,"Rs. 1,500",FCPS (Pediatrics),15 - 30 Min,136,100%,Karachi
Dr. Imtiaz Ali Khan,Pediatrician,MBBS,36 Years,"Rs. 2,000",DCH,Under 15 Min,12,100%,Karachi
Dr. Naseem Ahmed,Pediatrician,M.B.B.S.,7 Years,Rs. 600,F.C.P.S. (Pediatrics),Under 15 Min,18,75%,Karachi
Prof. Dr. Arit Parkash,"Pediatric Gastroenterologist, Pediatrician",MBBS,15 Years,"Rs. 2,000","FCPS (Pediatrics),  FCPS (Peadiatric Gastroenterology)",15 - 30 Min,24,100%,Karachi
Dr. Qamar Jehan,Pediatrician,M.B.B.S.,"99%
                                                                                    (109)","Rs. 1,000",M.C.P.S,Under 15 Min,109,,Karachi
Dr. Hina Fatima,"Pediatrician, Child-Kidney Specialist",MBBS,12 Years,"Rs. 1,500","FCPS (Pediatrics),  FCPS (Pediatrics Nephrology)",Under 15 Min,105,100%,Karachi
Dr. Tania Razi,Pediatrician,M.B.B.S.,10 Years,Rs. 600,M.C.P.S ( Pediatrics ),Under 15 Min,136,99%,Karachi
Dr. Faiqa Hassan,"Pediatrician, Neonatologist",M.B.B.S,10 Years,"Rs. 1,500",F.C.P.S (Pediatrics),Under 15 Min,25,100%,Karachi
Dr. Roshia Parveen,Pediatrician,M.B.B.S.,"100%
                                                                                    (3)","Rs. 1,000",F.C.P.S. (Paediatrics),15 Years,3,,Karachi
Dr. Hafsa Ibrahim,Pediatrician,M.B.B.S,9 Years,"Rs. 1,000",M.C.P.S. (Pediatrics),Under 15 Min,1824,98%,Karachi
Dr. Farrukh Muhammed Saleem,Pediatrician,MBBS,8 Years,"Rs. 1,000",FCPS (Pediatrics),Under 15 Min,918,98%,Karachi
Dr. Nandlal Daryani,Pediatrician,M.B.B.S.,33 Years,"Rs. 2,200","M.C.P.S,  D.C.H",Under 15 Min,247,97%,Karachi
Dr. Zahid Malik,"Pediatrician, Neonatologist",M.B.B.S,14 Years,Rs. 700,Diploma in Child Health,Under 15 Min,11,100%,Karachi
Dr. Nida Yasmin,Pediatrician,MBBS,15 Years,"Rs. 1,000","DCH (London),  MRCPCH",15 - 30 Min,5,100%,Karachi
Dr. Shahina Alvi,"Pediatrician, Pediatric Nutritionist",M.B.B.S,28 Years,"Rs. 3,000",M.C.P.S (Pediatrics),Under 15 Min,36,97%,Karachi
Dr. Abdul Saleem,Pediatrician,MBBS,37 Years,"Rs. 1,000","MCPS (Pediatrics),  DCH",Under 15 Min,72,91%,Karachi
Dr. Aiza Mustafa,Pediatrician,MBBS,7 Years,Rs. 500,FCPS (Pediatrics),15 - 30 Min,453,100%,Karachi
Dr. Atif Mansoor,Pediatrician,MBBS,10 Years,"Rs. 2,000","DCH,  Diploma in Aesthetic Medicine",Under 15 Min,116,87%,Karachi
Prof. Dr. Nathu Mal,Pediatrician,MBBS,18 Years,"Rs. 1,000","FCPS (Pediatrics),  MCPS (Pediatrics)",15 - 30 Min,472,99%,Karachi
Dr. Naheeda Tareen,Pediatrician,M.B.B.S.,"100%
                                                                                    (1)","Rs. 1,000",F.C.P.S. (Pediatrics),7 Years,1,,Karachi
Dr. Hina Khalid,Pediatrician,M.B.B.S.,7 Years,"Rs. 1,000",Diploma in Child Health,Under 15 Min,440,96%,Karachi
Dr. Saeed Ahmed,"Pediatrician, Neonatologist",M.B.B.S,7 Years,"Rs. 1,500","F.C.P.S (Pediatrics),  EPEMC",Under 15 Min,8,100%,Karachi
Dr. Kanwal Shaikh,Pediatrician,MBBS,"100%
                                                                                    (134)","Rs. 1,000",FCPS (Pediatrics),5 Years,134,,Karachi
Dr. Loveena,Pediatrician,MBBS,12 Years,"Rs. 1,000",FCPS (Pediatrics),30 - 45 Min,78,100%,Karachi
Dr. Eeshah Awan,Pediatrician,MBBS,12 Years,"Rs. 1,000","DCH,  Dip in Peads Nutrition",4 Years,not available,100%,Karachi
Dr. Bushra Masood,Pediatrician,M.B.B.S.,"100%
                                                                                    (9)","Rs. 1,000",M.C.P.S (Paediatric),18 Years,9,,Karachi
Dr. Rajab Ali,"Pediatrician, Neonatologist",M.B.B.S,15 Years,Rs. 700,"F.C.P.S (Pediatrics),  FRCP (Ireland)",15 - 30 Min,21,100%,Karachi
Dr. Paras Riaz,Pediatrician,M.B.B.S.,"100%
                                                                                    (5)",Rs. 800,F.C.P.S.,7 Years,5,,Karachi
Dr. Hanif Kamal,Pediatrician,M.B.B.S,20 Years,Not Available,Diplomate In American Board of Pediatrics & Pediatric Infectious Diseases,Under 15 Min,127,100%,Karachi
Dr. Sajid Jabbar,Pediatrician,MBBS,12 Years,Rs. 800,"MRCPCH (London),  PGPN (Boston,  USA)",15 - 30 Min,491,99%,Karachi
Dr. Nadia Rubab Zaidi,Pediatrician,M.B.B.S,"80%
                                                                                    (2229)","Rs. 1,000",Dip. in Paediatric Medicine,5 Years,2229,,Karachi
Dr. Neel Kanth,"Pediatrician, Neonatologist",MBBS,35 Years,"Rs. 2,500","DCH (Ireland),  MD",Under 15 Min,483,97%,Karachi
Dr. Hala Mashhood,Pediatrician,M.B.B.S.,13 Years,"Rs. 1,200",M.C.P.S,Under 15 Min,45,100%,Karachi
Dr. Mushtaq Ahmed,"Pediatrician, Neonatologist",M.B.B.S,7 Years,Rs. 700,"MRCPI,  F.C.P.S (Pediatrics)",15 - 30 Min,82,100%,Karachi
Dr. Farheen Naseem,Pediatrician,M.B.B.S.,6 Years,Not Available,,Under 15 Min,35,100%,Karachi
Dr. Khalid Adhia,"Pediatrician, Neonatologist",M.B.B.S,42 Years,"Rs. 2,500","Dip. In Child Health ,  M.C.P.S (Pediatrics)",Under 15 Min,116,99%,Karachi
Dr. Bilquis Naeem,"Child-Kidney Specialist, Pediatrician",M.B.B.S.,10 Years,"Rs. 1,500","F.C.P.S. (Pediatrician),  F.C.P.S. (Pediatric Nephrology)",15 - 30 Min,41,100%,Karachi
Dr. Chandi Lohana,Pediatrician,MBBS,20 Years,"Rs. 2,000",DCH,Under 15 Min,137,92%,Karachi
Dr. Munawar Ali Siddiqui,Pediatrician,M.B.B.S.,30 Years,"Rs. 1,500",DCH,Under 15 Min,770,97%,Karachi
Dr. Mahwish Nadir,"Pediatrician, Neonatologist",M.B.B.S,9 Years,Rs. 700,F.C.P.S (Pediatrics),Under 15 Min,678,100%,Karachi
Dr. Shahnaz Sajid,Pediatrician,MBBS,35 Years,"Rs. 1,500",DCH,Under 15 Min,33,100%,Karachi
Assist. Prof. Dr. Sadaf Asim,"Child-Kidney Specialist, Neonatologist, Pediatrician",DCH,15 Years,"Rs. 2,500","M.C.P.S,  F.C.P.S. (Paediatrics),  F.C.P.S. (Pediatric Nephrologist),  B.M.B.S.",30 - 45 Min,7,100%,Karachi
Dr. Abdul Rasheed,"Pediatrician, Neonatologist",M.B.B.S,"100%
                                                                                    (4)",Rs. 700,Post Graduate Diploma in Child Health,28 Years,4,,Karachi
Dr. Sayyeda Mehreen,Pediatrician,M.B.B.S.,9 Years,"Rs. 1,000",F.C.P.S. (Pediatrics),15 - 30 Min,23,85%,Karachi
Dr. Sehrish Arif,"Pediatrician, Neonatologist",M.B.B.S.,11 Years,Rs. 700,Diploma in Paediatric Medicine,15 - 30 Min,8,100%,Karachi
Dr. Kashmala Khan,"Pediatrician, Neonatologist",M.B.B.S,12 Years,"Rs. 1,500",Dip. In Child Health (UK),Under 15 Min,8,100%,Karachi
Dr. Hana Arbab,"Pediatrician, Pediatric Surgeon",M.B.B.S,6 Years,"Rs. 1,500","F.C.P.S.,  Fellow Pediatric Surgery",Under 15 Min,41,100%,Karachi
Dr. Mujeeb Rehman,Pediatrician,M.B.B.S,6 Years,Not Available,F.C.P.S (Pediatrics),12 Years,not available,100%,Karachi
Dr. Khalid Mahmood Ahmed,Pediatrician,MBBS,21 Years,"Rs. 1,500","FCPS (Pediatrics),  MCPS (Pediatrics)",Under 15 Min,274,98%,Karachi
Dr. Mehtab Hussain,Pediatrician,MBBS,8 Years,"Rs. 1,500",FCPS,15 - 30 Min,46,100%,Karachi
Dr. Abdul Ghani,Pediatrician,M.B.B.S,35 Years,Rs. 800,Diploma in Child Health,Under 15 Min,3,100%,Karachi
Dr. Memon Mushtaq Ahmed,Pediatrician,M.B.B.S,27 Years,"Rs. 1,500",DCH,Under 15 Min,7,100%,Karachi
Dr. Seema Rajput,Pediatrician,M.B.B.S,23 Years,"Rs. 1,200",Diploma in Child Health,Under 15 Min,25,100%,Karachi
Dr. Syed Habib Ahmed,Pediatrician,M.B.B.S,20 Years,Not Available,"F.C.P.S (Peads),  M.C.P.S (Peads)",Under 15 Min,18,100%,Karachi
Prof. Dr. S. Q. Nizami,Pediatrician,MBBS,20 Years,Not Available,"FCPS (Pediatrics),  MCPS (Peadiatrics)",43 Years,not available,100%,Karachi
Dr. Saleem Hassan Mukaddam,"Pediatrician, Pediatric Nutritionist",MBBS,20 Years,Not Available,"D.C.H ,  M.D (Pediatrics)",35 Years,not available,100%,Karachi
Dr. Rabbiya Ghias,Pediatrician,M.B.B.S,20 Years,Not Available,F.C.P.S (Pediatrics),10 Years,not available,100%,Karachi
Dr. Shagufta Yasmeen,Pediatrician,MBBS,32 Years,Not Available,MCPS (Pediatrican),Under 15 Min,6,100%,Karachi
Dr. Sami Ahmed,Pediatrician,M.B.B.S.,35 Years,Not Available,"D.C.H,  M.C.P.S",Under 15 Min,26,100%,Karachi
Dr. Ghulam Nabi,Pediatrician,M.B.B.S.,12 Years,Not Available,F.C.P.S. (Pediatrics),15 - 30 Min,18,100%,Karachi
Dr. Sada Hussain,Pediatrician,M.B.B.S,12 Years,Not Available,Diploma in Child Health,20 Years,not available,100%,Karachi
Dr. Azhar Chaghtai,Pediatrician,M.B.B.S,"100%
                                                                                    (8)",Not Available,Fellowship Neonatologist,27 Years,8,,Karachi
Dr. Riffat Wasiullah,Pediatrician,MBBS,41 Years,Not Available,"M.C.P.S.,  D.C.H (London)",15 - 30 Min,24,100%,Karachi
Dr. Uzma Abdul Jabbar,"Pediatrician, Neonatologist",M.B.B.S,"100%
                                                                                    (3)",Not Available,F.C.P.S (Pediatrician),14 Years,3,,Karachi
Dr. M. N. Lal,Pediatrician,MBBS,33 Years,Not Available,"MCPS (Pediatrics),  MD (Pediatrics),  DCH",15 - 30 Min,173,96%,Karachi
Dr. Usha Khatri,Pediatrician,MBBS,23 Years,Not Available,DCH,15 - 30 Min,11,89%,Karachi
Dr. M. Saleem Patel,Pediatrician,MBBS,43 Years,Not Available,"FCPS,  MCPS",15 - 30 Min,15,100%,Karachi
Prof. Dr. Syed Jamal Raza,"Pediatrician, Pediatric Diabetologist, Diabetologist",MBBS,28 Years,Not Available,"FCPS,  DCH",30 - 45 Min,53,100%,Karachi
Dr. Zamir Hussain,"Consultant Physician, Pediatrician",MBBS,20 Years,Not Available,MCPS (Paediatrics),Under 15 Min,41,100%,Karachi
Dr. Falak Naz,"Pediatrician, Family Physician",MBBS,8 Years,Not Available,FCPS (AKUH),15 - 30 Min,12,100%,Karachi
Dr. Janki Bai,Pediatrician,M.B.B.S,8 Years,Not Available,"F.C.P.S.,  M.C.P.S. (Pediatrics)",Under 15 Min,36,97%,Karachi
Dr. Urooj Naz,"Pediatrician, Neonatologist",MBBS,"100%
                                                                                    (7)",Not Available,FCPS (Pediatrics),9 Years,7,,Karachi
Dr. Perveen Mufti,Pediatrician,MBBS,"100%
                                                                                    (1)",Not Available,DABP,47 Years,1,,Karachi
Dr. Muhammad Rafique Memon,Pediatrician,MBBS,20 Years,Not Available,"M.D(USA),  FCPS (Pediatrics)",Under 15 Min,49,98%,Karachi
Dr. Mehboob Alam,Pediatrician,M.B.B.S,30 Years,Not Available,MD (Paediatrics),Under 15 Min,3,83%,Karachi
Dr. Misbah Wasim Munir,Pediatrician,M.B.B.S,30 Years,Not Available,"FCPS,  IMM",5 Years,not available,83%,Karachi
Dr. Shams Un Nisa Ansari,Pediatrician,MBBS,27 Years,Not Available,DCH,Under 15 Min,50,96%,Karachi
Dr. Mohsina Ebrahim,"Pediatrician, Pediatric Endocrinologist",MBBS,"50%
                                                                                    (3)",Not Available,"FCPS (Endocrinology),  DCH",25 Years,3,,Karachi
Dr. Huma Qureshi,Pediatrician,MBBS,24 Years,Not Available,FCPS (Paediatric),15 - 30 Min,14,100%,Karachi
Prof. Dr. Shahid Hussain,Pediatrician,M.B.B.S,46 Years,Not Available,"F.C.P.S. (Pediatrics),  D.C.H",Under 15 Min,244,99%,Karachi
Dr. Samina Habib,"Pediatrician, Dermatologist",M.B.B.S,13 Years,Not Available,"F.C.P.S,  Post Graduate Program in Pediatric Nutrition (PGPN)",Under 15 Min,18,92%,Karachi
Dr. Farrukh Naseem Vohra,Pediatrician,MBBS,33 Years,Not Available,"DCH (UK),  PGPN (USA)",15 - 30 Min,82,89%,Karachi
Dr. Ajmal Iqeek Mirza,Pediatrician,M.B.B.S.,20 Years,Not Available,"D.C.H,  M.D (Peads)",Under 15 Min,21,90%,Karachi
Dr. Taj Muhammad,"Pediatric Endocrinologist, Pediatrician",M.B.B.S.,20 Years,Not Available,"DCH,  M.C.P.S.,  F.C.P.S.",30 Years,not available,90%,Karachi
Dr. Tariq Suhail,Pediatrician,MBBS,42 Years,Not Available,Diploma in Child Health,Under 15 Min,29,100%,Karachi
Dr. Shafaq Shahid,"Pediatrician, Pediatric Nutritionist, Neonatologist",M.B.B.S.,13 Years,Not Available,"M.C.P.S,  Post Graduate Program in Pediatric Nutrition (PGPN)",15 - 30 Min,395,99%,Karachi
Dr. Hafiz Farjam Ahmed Zakai,Pediatrician,MBBS,8 Years,Not Available,FCPS (Pediatrics),Under 15 Min,44,97%,Karachi
Dr. Aleem Rehman,"Dentist, Implantologist",BDS,6 Years,"Rs. 1,500","CPM,  BPM (Harvard University)",Under 15 Min,230,97%,Lahore
Dr. Waleed Toosy,"Dentist, Prosthodontist",B.D.S,17 Years,"Rs. 2,000",F.C.P.S (Prosthodontics),15 - 30 Min,1824,98%,Lahore
Dr. Ahmad Shah,Dentist,BDS,17 Years,"Rs. 2,000",RDS,6 Years,not available,98%,Lahore
Prof. Dr. Sobia Malik,Dentist,BDS,27 Years,"Rs. 3,000","RDS,  M.Phil,  C-Ortho,  C-Implant,  FACPS (USA)",Under 15 Min,1625,97%,Lahore
Assoc. Prof. Dr. Usman Zaheer,"Dentist, Orthodontist",B.D.S,15 Years,"Rs. 2,000","F.C.P.S. (Orthodontics),  M Orth RCSEd (Uk)",Under 15 Min,144,100%,Lahore
Dr. Mohsin Kamal,"Dentist, Cosmetic Dentist",B.D.S,14 Years,"Rs. 2,000",M.Phil,Under 15 Min,1752,100%,Lahore
Dr. Mehreen Khaliq,"Dentist, Periodontist, Implantologist",B.D.S,10 Years,"Rs. 2,000",FCPS Periodontology & Oral Implantology,Under 15 Min,1412,100%,Lahore
Dr. Muhammad Umair Pervaiz,Dentist,BDS,10 Years,"Rs. 2,000",,3 Years,not available,100%,Lahore
Dr. Imran Khan Jadoon,"Dentist, Cosmetic Dentist, Implantologist",BDS,5 Years,"Rs. 2,000","RDS,  BSc,  C-Implant,  C-Ortho",Under 15 Min,16,100%,Lahore
Dr. Alina Haider,"Dentist, Aesthetic Physician",BDS,10 Years,"Rs. 3,000","FCPS (Oral and Maxillofacial Surgery),  Dip. Medical Aesthetics (UK certified),  Certified Aesthetic and Restorative Dentistry",15 - 30 Min,67,100%,Lahore
Prof. Dr. Junaid Israr,"Orthodontist, Dentist",BDS,20 Years,"Rs. 2,000","DDCS,  MFDS,  RCS (ENG),  FCPS (Orthodontics)",Under 15 Min,1,100%,Karachi
Dr. Usman Arif Cheema,Dentist,BDS,10 Years,"Rs. 2,000",Advanced General Dentist,15 - 30 Min,68,100%,Karachi
Dr. Naveed Anwar,Dentist,B.D.S,10 Years,Rs. 700,,Under 15 Min,89,100%,Karachi
Dr. Muhammad Salman Sansi,Dentist,BDS,2 Years,"Rs. 2,000",,15 - 30 Min,1,100%,Karachi
Dr. Junaid Altaf,"Dentist, Prosthodontist",B.D.S.,9 Years,"Rs. 1,000",F.C.P.S. (Prosthodontics),Under 15 Min,120,100%,Karachi
Brig.(R) Prof. Dr. Assad Abbas,"Dentist, Oral and Maxillofacial Surgeon",B.D.S,35 Years,"Rs. 2,000","M.C.P.S.,  F.C.P.S.,  Certificate Diploma (USA),  Certificate Diploma (PAK),  FICS (USA)",Under 15 Min,176,99%,Karachi
Col. (R). Dr. Naseer Ahmed Malik,Dentist,B.D.S,47 Years,"Rs. 1,500",,Under 15 Min,187,95%,Karachi
Dr. Zainab Atiq,Dentist,BDS,47 Years,"Rs. 1,000",C-Endo,1 Years,not available,95%,Karachi
Dr. Zia un Nisa,Dentist,C-Aesthetics,9 Years,"Rs. 1,000","B.D.S.,  R.D.S",Under 15 Min,45,97%,Karachi
Dr. Ali Murtaza Sohail,"Dentist, Implantologist",D.D.S. (Doctor of Dental Surgery),11 Years,"Rs. 1,000",Certification of implantology,Under 15 Min,550,97%,Karachi
Dr. Mishal Farrukh,"Dentist, Cosmetic Dentist",BDS,8 Years,"Rs. 1,000","C-Ortho,  C-Aesthetic And Restorative Dentistry",Under 15 Min,84,100%,Karachi
Dr. Fiza Asad Sheikh,Dentist,B.D.S,8 Years,Not Available,"C-Ortho,  C-Surgery",15 - 30 Min,104,100%,Karachi
Dr. Abdullah Amir,"Dentist, Cosmetic Dentist",B.D.S.,5 Years,Rs. 600,,Under 15 Min,657,100%,Karachi
Dr. Iqra Zubair,Dentist,B.D.S.,3 Years,"Rs. 1,000",,15 - 30 Min,6,100%,Karachi
Dr. Shoaib Hanif,"Implantologist, Dentist",BDS,10 Years,"Rs. 1,500",,Under 15 Min,44,96%,Karachi
Dr. Furqan Mahmood,"Dentist, Cosmetic Dentist",B.D.S.,8 Years,"Rs. 2,000",,Under 15 Min,18,100%,Karachi
Dr. Omer Javaid,"Dentist, Orthodontist",B.D.S,8 Years,Not Available,,2 Years,not available,100%,Karachi
Dr. Muhammad Asif Iqbal Khan,"Dentist, Orthodontist",B.D.S.,11 Years,"Rs. 1,000","R.D.S,  O.M.S.B.",Under 15 Min,75,97%,Karachi
Lt. Col. (R) Dr. M. Ali Yasser,"Dentist, Orthotist and Prosthetist",BDS,27 Years,Not Available,"MCPS (Family Dentistry),  M.P.H.,  Grading in Dental Prosthetics",Under 15 Min,75,99%,Karachi
Dr. Ashtiaq Sultan,"Dentist, Cosmetic Dentist",B.D.S.,12 Years,"Rs. 1,000",,Under 15 Min,39,100%,Karachi
Dr. Hafiz Muhammad Abdullah,Dentist,B.D.S.,12 Years,"Rs. 1,000",,4 Years,not available,100%,Karachi
Dr. Ammar Aslam,Dentist,B.D.S.,8 Years,"Rs. 1,000",,15 - 30 Min,267,100%,Karachi
Dr. Iqra Asim,Dentist,B.D.S.,"100%
                                                                                    (2)",Rs. 500,,4 Years,2,,Karachi
Dr. Hamna Shahwar,"Dentist, Cosmetic Dentist",B.D.S,"100%
                                                                                    (2)","Rs. 2,000",,2 Years,not available,,Karachi
Dr. Fatima Tuz Zahra,"Oral and Maxillofacial Surgeon, Dentist",B.D.S,15 Years,"Rs. 3,000",F.C.P.S. ( Oral & Maxillo-Facial Surgery ),15 - 30 Min,4,83%,Karachi
Dr. Aqsa Munawar,"Endodontist, Dentist, Cosmetic Dentist",BDS,8 Years,Not Available,M.C.P.S,15 - 30 Min,48,87%,Karachi
Dr. Abu Bakar Sheikh,"Dentist, Implantologist",B.D.S,4 Years,"Rs. 3,000",M.Sc Implantology,15 - 30 Min,378,100%,Karachi
Dr. Asma Mumtaz,Dentist,B.D.S.,6 Years,Rs. 300,Diploma in advance general dentistry,Under 15 Min,21,100%,Karachi
Dr. Aini Hassan,"Dentist, Orthodontist",B.D.S.,5 Years,"Rs. 2,000",C-Orthodontist,Under 15 Min,28,100%,Karachi
Dr. Faiza Rehman,"Dentist, Oral and Maxillofacial Surgeon",B.D.S.,8 Years,Not Available,F.C.P.S.,Under 15 Min,71,100%,Karachi
Dr. Muhammad Shoaib Ahmed,Dentist,BDS (GOLD MEDALIST),12 Years,"Rs. 1,000",C-IMPLANTS,15 - 30 Min,8,89%,Karachi
Dr. Sajida Ali,Dentist,B.D.S.,4 Years,"Rs. 1,000",,Under 15 Min,3,75%,Karachi
Dr. Komal Mehbariz,"Dentist, Aesthetic Physician",B.D.S,5 Years,"Rs. 1,500",Aesthetic Physician,Under 15 Min,100,50%,Karachi
Dr. Danish Altaf,Dentist,B.D.S,9 Years,"Rs. 2,000","M.D.S,  C-Ortho (Philipines),  M.C.P.S",Under 15 Min,22,96%,Karachi
